ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,Status
1269,1000049, 2,219,111,0.663636,0.336364,merged
1302,1000049, 1,220,111,0.664653,0.335347,merged
1302,1000120, 2,  1,  0,1.000000,0.000000,merged
1303,1000049, 1,220,112,0.662651,0.337349,merged
1303,1000049, 2,221,112,0.663664,0.336336,merged
1307,1000049, 1,222,112,0.664671,0.335329,merged
1307,1000049, 2,223,112,0.665672,0.334328,merged
1308,1000049, 1,223,113,0.663690,0.336310,merged
1308,1000049, 2,224,113,0.664688,0.335312,merged
1319,1000049, 1,225,113,0.665680,0.334320,merged
1319,1000049, 2,226,113,0.666667,0.333333,merged
1323,1000049, 1,227,113,0.667647,0.332353,merged
1323,1000011, 2,  1,  0,1.000000,0.000000,merged
1326,1000049, 1,227,114,0.665689,0.334311,merged
1326,1000049, 2,228,114,0.666667,0.333333,merged
1328,1000049, 1,228,115,0.664723,0.335277,merged
1328,1000049, 2,229,115,0.665698,0.334302,merged
1331,1000049, 1,230,115,0.666667,0.333333,merged
1331,1000049, 2,231,115,0.667630,0.332370,merged
1333,1000049, 1,231,116,0.665706,0.334294,abandoned
1333,1000049, 2,231,117,0.663793,0.336207,abandoned
1334,1000049, 1,232,117,0.664756,0.335244,merged
1334,1000134, 2,  1,  0,1.000000,0.000000,merged
1337,1000049, 1,232,118,0.662857,0.337143,merged
1337,1000049, 2,233,118,0.663818,0.336182,merged
1342,1000049, 1,233,119,0.661932,0.338068,merged
1342,1000049, 2,234,119,0.662890,0.337110,merged
1347,1000049, 1,234,120,0.661017,0.338983,abandoned
1347,1000049, 2,234,121,0.659155,0.340845,abandoned
1354,1000049, 1,234,122,0.657303,0.342697,merged
1354,1000049, 2,235,122,0.658263,0.341737,merged
1401,1000049, 1,236,122,0.659218,0.340782,merged
1401,1000153, 2,  1,  0,1.000000,0.000000,merged
1403,1000049, 1,237,122,0.660167,0.339833,merged
1403,1000066, 2,  2,  0,1.000000,0.000000,merged
1408,1000049, 1,237,123,0.658333,0.341667,merged
1408,1000049, 2,238,123,0.659280,0.340720,merged
1409,1000049, 1,238,124,0.657459,0.342541,merged
1409,1000049, 2,239,124,0.658402,0.341598,merged
1410,1000049, 1,239,125,0.656593,0.343407,merged
1410,1000049, 2,240,125,0.657534,0.342466,merged
1417,1000049, 1,241,125,0.658470,0.341530,merged
1417,1000049, 2,242,125,0.659401,0.340599,merged
1420,1000049, 1,242,126,0.657609,0.342391,merged
1420,1000049, 2,243,126,0.658537,0.341463,merged
1435,1000049, 1,243,127,0.656757,0.343243,merged
1435,1000049, 2,244,127,0.657682,0.342318,merged
1436,1000049, 1,244,128,0.655914,0.344086,merged
1436,1000049, 2,245,128,0.656836,0.343164,merged
1441,1000049, 1,246,128,0.657754,0.342246,merged
1441,1000049, 2,247,128,0.658667,0.341333,merged
1448,1000049, 1,248,128,0.659574,0.340426,merged
1448,1000049, 2,248,129,0.657825,0.342175,merged
1458,1000049, 1,248,130,0.656085,0.343915,merged
1458,1000015, 2,  3,  2,0.600000,0.400000,merged
1460,1000049, 1,248,131,0.654354,0.345646,merged
1460,1000012, 2,  1,  2,0.333333,0.666667,merged
1463,1000049, 1,248,132,0.652632,0.347368,merged
1463,1000049, 2,249,132,0.653543,0.346457,merged
1470,1000174, 1,  1,  0,1.000000,0.000000,merged
1470,1000049, 2,250,132,0.654450,0.345550,merged
1474,1000049, 1,251,132,0.655352,0.344648,merged
1474,1000128, 2,  1,  0,1.000000,0.000000,merged
1489,1000049, 1,252,132,0.656250,0.343750,merged
1489,1000049, 2,253,132,0.657143,0.342857,merged
1490,1000049, 1,253,133,0.655440,0.344560,merged
1490,1000049, 2,254,133,0.656331,0.343669,merged
1491,1000049, 1,254,134,0.654639,0.345361,merged
1491,1000049, 2,255,134,0.655527,0.344473,merged
1495,1000049, 1,256,134,0.656410,0.343590,merged
1495,1000049, 2,257,134,0.657289,0.342711,merged
1496,1000049, 1,257,135,0.655612,0.344388,merged
1496,1000049, 2,258,135,0.656489,0.343511,merged
1501,1000049, 1,259,135,0.657360,0.342640,merged
1501,1000049, 2,260,135,0.658228,0.341772,merged
1502,1000049, 1,261,135,0.659091,0.340909,merged
1502,1000027, 2,  1,  0,1.000000,0.000000,merged
1507,1000049, 1,261,136,0.657431,0.342569,merged
1507,1000049, 2,262,136,0.658291,0.341709,merged
1509,1000049, 1,262,137,0.656642,0.343358,merged
1509,1000049, 2,262,138,0.655000,0.345000,merged
1516,1000049, 1,263,138,0.655860,0.344140,merged
1516,1000104, 2,  1,  0,1.000000,0.000000,merged
1523,1000049, 1,264,138,0.656716,0.343284,merged
1523,1000049, 2,265,138,0.657568,0.342432,merged
1524,1000049, 1,266,138,0.658416,0.341584,merged
1524,1000049, 2,267,138,0.659259,0.340741,merged
1526,1000049, 1,267,139,0.657635,0.342365,merged
1526,1000049, 2,268,139,0.658477,0.341523,merged
1527,1000049, 1,268,140,0.656863,0.343137,merged
1527,1000049, 2,269,140,0.657702,0.342298,merged
1528,1000049, 1,270,140,0.658537,0.341463,merged
1528,1000049, 2,271,140,0.659367,0.340633,merged
